Date,Headline,Conflict Type,Country,Region,Description,Sources
1999,Fighting breaks out over the use of a watering hole,Trigger,Mali,Sub-Saharan Africa,Malian herdsmen in Missira-Samoura refuse to allow a horseman from Mauritania to use a watering hole. The Mauritanian horseman rides off and returns to the village with other men. Fighting breaks out and results in two people being killed.,Raleigh et al N.D. I.D. 5281066
1999,Clashes between two villages over the control of a water hole,Trigger,Mauritania,Sub-Saharan Africa,Clashes break out between the village of Djigueni and Missira in Mauritania over the control of a water hole for cattle. Clashes over water rights are common during the dry season.,Raleigh et al N.D. I.D. 5005903
1999,Luanda is without water because of conflict,Casualty,Angola,Sub-Saharan Africa,"In Angola, the National Union for the Total Independence of Angola attacks and occupies Catete, leaving Luanda without water. Addionally eight civilians and two FAA are killed and many others are captured.",Raleigh et al N.D. I.D. 5557996
2000,Ethiopian killed in water fight,Trigger,Ethiopia,Sub-Saharan Africa,One man stabbed to death during fight over clean water during famine in Ethiopia.,Sandrasagra 2000
2000,Central Asian nations cut off water to neighbors,Weapon,"Kyrgyzstan, Kazakhstan, Uzbekistan",Central Asia,Kyrgyzstan cuts off water to Kazakhstan until coal is delivered; Uzbekistan cuts off water to Kazakhstan for non-payment of debt.,Pannier 2000
2000,French workers pollute river over labor dispute,Casualty,France,Western Europe,"In July, workers at the Cellatex chemical plant in northern France dump 5,000 liters of sulfuric acid into a tributary of the Meuse River after they are denied workers' benefits. A French analyst points out that this is the first time ""the environment and public health were made hostage in order to exert pressure, an unheard-of situation until now.""",Christian Science Monitor 2000
2000,Violent conflict in Afghanistan,Trigger,Afghanistan,Southern Asia,"Violent conflicts break out over water resources in the villages Burna Legan and Taina Legan, and in other parts of the region, as drought depleted local resources.",Cooperation Center for Afghanistan 2000
2000,"Riots over privatization in Cochabamba, Bolivia",Trigger,Bolivia,Latin America and the Ca,"Massive protests, riots, and violence result from efforts to privatize the water system of Cochabamba, Bolivia.",Shultz and Draper 2009
2000,Terrorist drill gets out of hand in California,Casualty,United States,North America,"A drill simulating a terrorist attack on the Nacimiento Dam in Monterey County, California got out of hand when two radio stations reported it as a real attack.",Gaura 2000
2000,Kenyans battle monkeys for drought relief,Trigger,Kenya,Sub-Saharan Africa,A clash between villagers and thirsty monkeys leaves eight apes dead and ten villagers wounded. The duel starts after water tankers bring water to a drought-stricken area and monkeys desperate for water attack the villagers.,British Broadcasting Corporation (BBC) 2000
2000,Australian hacker causes sewage spills,Weapon,Australia,Australia and New Zealand,"In Queensland, Australia, police arrest a man for using a computer and radio transmitter to take control of the Maroochy Shire wastewater system and release sewage into parks, rivers, and property.",Gellman 2002
2000,Riots in northern China,"Trigger, Casualty",China,Eastern Asia,"Civil unrest erupts over use and allocation of water from Baiyang Lake, the largest natural lake in northern China. Several people die in riots by villagers in July 2000 in Shandong after officials cut off water supplies. In August 2000, six die when officials in the southern province of Guangdong blow up a water channel to prevent a neighboring county from diverting water.",Pottinger 2000
2000,Regional drought heightens tensions in Ethiopia and Kenya,Trigger,"Ethiopia, Kenya",Sub-Saharan Africa,"The Ethiopian government says that regional drought worsens traditional conflicts at watering points and over access to pasture. The tensions are heightened by the presence of the Oromo Liberation Front (OLF), an Ethiopian armed opposition group said to be operating from Kenyan territory near the common border.",Norwegian Refugee Council/Global IDP Project 2002
2000,Aqueduct in Colombia is attacked.,Casualty,Colombia,Latin America and the Ca,A bombing attempt occurs at an aqueduct in Colombia. The bomb does not detonate. The National Liberation Army is suspected in the attempt.,Agence France-Presse (AFP) 2000
2000,Water company is bombed to demand release of prisoners,Casualty,France,Western Europe,"A water company office in Ustaritz, France is damaged by a bomb thought to be placed in support of a group called the Basque Fatherland and Freedom (aka ETA). The attackers leave writing on the wall in the building demanding the release of ETA prisoners.",RAND Database of Worldwide Terrorism Incidents 2018
2000,Luxury home burned to protest impact on watershed,Trigger,United States,North America,"The Earth Liberation Front (ELF) claims responsibility for setting a luxury home under construction on fire. Their written statement says they targeted the home because of its location in the Lake Monroe watershed, a drinking water supply for the town of Bloomington, Indiana, which is in jeopardy from urban sprawl.",RAND Database of Worldwide Terrorism Incidents 2018
2000,"Settlers attack a village in Palestine, injuring civilians and cutting water supply",Casualty,Palestine,Western Asia,"In a village in Palestine, three Palestinians are injured by gunshots from Israeli settlers. The same settlers also cut the water supply to the village by damaging the pipes.",RAND Database of Worldwide Terrorism Incidents 2018
2000,Israeli settlers are accused of intentionally releasing sewage to contaminate Palestinian agricultural fields in the West Bank,Weapon,Palestine,Western Asia,Israeli settlers from Efrat are blamed for deliberately releasing sewer water into Palestinian agricultural fields in the West Bank.,Mohtadi and Murshid 2006
2000,Water supply tank for a condominium in Singapore deliberately contaminated,Weapon,Singapore,South-eastern Asia,A water supply tank is deliberately poisoned with kerosene and turpentine. Residents of the condominium complex in Singapore discover the contamination from the odor of their water.,Mohtadi and Murshid 2006
2000,A man is arrested for attempted poisoning of community water supply in Turkey,Weapon,Turkey,Western Asia,"A man is arrested for attempted poisoning of the water supply for the village of Kurusaray, Turkey.",Mohtadi and Murshid 2006
2000,Water storage facility is destroyed,Casualty,Eritrea,Sub-Saharan Africa,"Eritrea accuses Ethiopia of bombing the Red Sea port at Assab, saying several bombs are dropped on Assab, destroying a water storage facility on the outskirts of the town.",Raleigh et al N.D. I.D. 5267507
2000,Students riot to protest water shortages,Trigger,Kenya,Sub-Saharan Africa,Students riot to protest water shortages in Kenya.,"Raleigh et al N.D. I.D. 5273804, 5001531"
2000,Moroccean army destroys wells,Casualty,Morocco,Northern Africa,Units of the Moroccan army destroy the wells situated in the municipalities of Guelta and Boujdour. Citizens usually use these wells to provide water for their sheep in the summer.,"Raleigh et al N.D. I.D. 5001292, 5001293"
2000,Clashes between rioters and police over water shortages,Trigger,Sudan,Sub-Saharan Africa,Sudanese rioters who are protesting against the failure of schools to reopen as well as water and electricity shortages clash with police who intervene to quell the riot. At least one student is killed and many are injured.,Raleigh et al N.D. I.D. 5576946
2001,Palestinians destroy water supply to Israeli settlements,Casualty,"Israel, Palestine",Western Asia,"Palestinians destroy water supply pipelines to the West Bank settlement of Yitzhar and to Kibbutz Kissufim. The Agbat Jabar refugee camp near Jericho disconnects from its water supply after Palestinians loot and damage local water pumps. Palestinians accuse Israel of destroying a water cistern, blocking water tanker deliveries, and attacking materials for a wastewater treatment project.",Israel Line 2001a
2001,Unrest over shortages in Pakistan,Trigger,Pakistan,Southern Asia,"Civil unrest over severe water shortages caused by the long-term drought. Protests began in March and April and continued into summer. Riots, four bombs in Karachi (June 13), one death, 12 injuries, 30 arrests. Ethnic conflicts as some groups ""accuse the government of favoring the populous Punjab province [over Sindh province] in water distribution.'",Nadeem 2001
2001,Water cut off in Macedonian conflict,"Weapon, Casualty",Macedonia,Southern Europe,"Water flow to Kumanovo (population 100,000), Macedonia cut off for 12 days in conflict between ethnic Albanians and Macedonian forces. Valves of Glaznja and Lipkovo Lakes damaged.",Agence France-Presse (AFP) 2001
