,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
FSFG,1.05,4.48,-,-,0.14,14.07,1.08%,9.90%,25.20%,251.80%,6.90%
FSLR,1.78,43.34,24.95,1.67,0.05,2.09,-,4.30%,-2.80%,403.80%,8.60%
FSRV,,,,,,,,,,,
FSRVU,,,,,,,,,,,
FSRVW,,,,,,,,,,,
FSTR,0.92,3.22,18.13,0.32,0.28,4.67,-,2.20%,18.70%,342.20%,3.00%
FSTX,2.37,-,-,-,0.00,-6.56,-,-104.50%,-,26.00%,2.10%
FSV,9.27,81.73,47.61,5.45,-,1.66,0.49%,-,-,65.30%,15.75%
FSZ,-,-,-,-,-,-,1.89%,-,-,-,-
FTA,-,-,-,-,-,-,2.24%,-,-,-,-
FTAG,-,-,-,-,-,-,1.87%,-,-,-,-
FTC,-,-,-,-,-,-,0.61%,-,-,-,-
FTCS,-,-,-,-,-,-,1.02%,-,-,-,-
FTDR,-,31.43,28.03,2.26,-,1.51,-,-93.30%,19.10%,-20.30%,0.13%
FTEK,4.07,-,-,-,0.06,-0.29,-,-29.90%,-31.50%,276.50%,1.20%
FTFT,4.26,-,-,-,0.09,-0.43,-,-,14.20%,-266.30%,56.98%
FTGC,-,-,-,-,-,-,0.93%,-,-,-,-
FTHI,-,-,-,-,-,-,5.11%,-,-,-,-
FTHM,9.91,-,-,-,0.02,-0.10,-,-1.60%,568.90%,86.90%,59.00%
FTIV,-,-,-,-,-,-,-,-,-,-,-
FTIVU,1.55,-,-,-,0.00,-,-,-,-,-,-
FTIVW,,,,,,,,,,,
FTLB,-,-,-,-,-,-,3.45%,-,-,-,-
FTNT,27.93,46.11,33.87,2.27,0.00,2.67,-,58.00%,21.30%,63.20%,11.60%
FTOC,-,-,-,-,-,-,-,-,-,-,-
FTOCU,-,-,-,-,-,-,-,-,-,-,2.80%
FTOCW,,,,,,,,,,,
FTRI,-,-,-,-,-,-,6.18%,-,-,-,-
FTSL,-,-,-,-,-,-,3.69%,-,-,-,-
FTSM,-,-,-,-,-,-,1.43%,-,-,-,-
FTXD,-,-,-,-,-,-,0.88%,-,-,-,-
FTXG,-,-,-,-,-,-,1.41%,-,-,-,-
FTXH,-,-,-,-,-,-,0.83%,-,-,-,-
FTXL,-,-,-,-,-,-,0.62%,-,-,-,-
FTXN,-,-,-,-,-,-,2.72%,-,-,-,-
FTXO,-,-,-,-,-,-,3.65%,-,-,-,-
FTXR,-,-,-,-,-,-,0.58%,-,-,-,-
FULC,3.04,-,-,-,0.00,-2.85,-,-71.90%,-,10.60%,2.70%
FULT,0.87,11.93,13.26,1.49,0.32,1.07,4.07%,7.50%,21.10%,1.40%,0.70%
FULTP,,,,,,,,,,,
FUNC,0.83,8.96,-,-,0.24,1.73,3.35%,9.80%,26.60%,12.20%,4.50%
FUND,1.00,-,-,-,-,-0.09,6.22%,-,-,-,42.52%
FUSB,,,,,,,,,,,
FUSN,1.72,-,-,-,0.00,-,-,-,-,-189.00%,9.00%
FUTU,7.62,52.99,28.72,3.07,5.35,0.81,-,23.40%,4.40%,240.20%,0.99%
FUV,15.85,-,-,-,0.13,-0.64,-,-126.70%,-101.10%,33.00%,23.00%
FV,-,-,-,-,-,-,0.31%,-,-,-,-
FVAM,-,-,-,-,-,-,-,-,-,-,-
FVC,-,-,-,-,-,-,0.60%,-,-,-,-
FVCB,0.96,13.19,14.56,-,0.13,0.99,-,7.90%,20.70%,1.30%,1.00%
FVE,0.97,2.21,16.76,0.15,0.06,2.89,-,3.10%,-15.90%,108.30%,0.50%
FWONA,1.42,-,-,-,0.57,-3.30,-,-13.10%,0.50%,-331.10%,3.56%
FWONK,1.55,-,-,-,-,-2.71,-,-,-,-,2.97%
FWP,0.63,-,-,-,0.00,-1.74,-,-4.60%,-,93.90%,-
FWRD,3.64,33.01,25.34,2.51,0.21,2.21,1.15%,6.40%,13.80%,-17.70%,0.70%
FXNC,,,,,,,,,,,
FYC,-,-,-,-,-,-,0.34%,-,-,-,-
FYT,-,-,-,-,-,-,1.34%,-,-,-,-
FYX,-,-,-,-,-,-,0.99%,-,-,-,-
GABC,1.46,15.44,15.86,1.72,0.01,2.15,2.29%,9.70%,20.20%,12.30%,1.20%
GAIA,2.70,-,141.64,-,0.16,-0.16,-,-3.80%,-19.80%,241.90%,0.80%
GAIN,0.93,-,15.24,-,-,-0.53,8.35%,-,-,-39.70%,2.21%
GAINL,,,,,,,,,,,
GAINM,,,,,,,,,,,
GALT,5.39,-,-,-,0.00,-0.40,-,-56.50%,-,-109.70%,14.10%
GAN,7.51,-,754.29,-,0.01,-,-,-,11.70%,-,45.04%
GASS,0.16,7.26,2.47,1.42,0.63,0.32,-,2.20%,2.40%,-,20.69%
GBCI,1.80,16.56,16.86,1.66,0.50,2.57,2.82%,11.30%,16.80%,42.80%,0.10%
GBDC,1.00,-,13.14,-,-,-0.92,8.25%,-,-,640.30%,5.92%
GBIO,8.19,-,-,-,0.00,-,-,-,-,-76.00%,14.60%
GBLI,0.54,61.90,9.10,6.19,0.18,0.44,3.66%,1.00%,8.80%,-326.70%,3.30%
GBLIL,,,,,,,,,,,
GBT,6.03,-,-,-,0.16,-4.63,-,-54.80%,-43.10%,9.50%,1.70%
GCBC,1.62,11.52,-,-,0.15,2.20,1.90%,14.80%,29.40%,0.50%,1.80%
GCMG,,,,,,,,,,,
GCMGW,,,,,,,,,,,
GDEN,2.69,-,-,-,6.38,-4.49,-,-55.40%,2.70%,27.20%,4.50%
GDRX,18.68,707.69,108.24,18.83,0.92,0.05,-,-,-28.30%,-355.00%,0.20%
GDS,6.85,-,-,-,1.62,-0.57,-,-4.70%,1.80%,-64.40%,3.82%
GDYN,3.51,-,65.49,-,0.00,-0.34,-,-10.50%,-,-284.10%,2.80%
GDYNW,,,,,,,,,,,
GEC,1.18,-,-,-,1.78,-0.51,-,-,0.40%,-,1.50%
GECC,0.66,-,9.15,-,-,-2.33,27.32%,-,-,-,32.83%
GECCL,,,,,,,,,,,
GECCM,,,,,,,,,,,
GECCN,,,,,,,,,,,
GENC,1.11,29.40,-,-,0.00,0.42,-,3.90%,4.40%,76.70%,3.70%
GENE,2.74,-,-,-,0.04,-0.65,-,-118.00%,-,-228.60%,86.50%
GENY,-,-,-,-,-,-,0.94%,-,-,-,-
GEOS,0.53,-,-,-,0.00,-1.42,-,-11.50%,-12.80%,-144.10%,2.00%
GERN,2.45,-,-,-,0.10,-0.35,-,-43.80%,-53.60%,23.20%,0.16%
GEVO,1.07,-,-,-,0.10,-1.63,-,-34.90%,-30.30%,86.70%,4.20%
GFED,0.79,8.51,25.43,-,0.40,1.88,3.75%,9.60%,26.80%,-23.70%,0.60%
GFN,1.87,131.34,18.14,13.13,2.68,0.07,-,1.70%,7.50%,-35.40%,6.10%
GFNCP,,,,,,,,,,,
GFNSL,,,,,,,,,,,
GFNSZ,,,,,,,,,,,
GGAL,0.68,3.97,3.80,-,0.66,2.30,0.88%,21.30%,0.60%,98.60%,53.40%
GH,10.91,-,-,-,0.00,-1.91,-,-19.50%,-10.10%,-469.10%,5.40%
GHIV,,,,,,,,,,,
GHIVU,,,,,,,,,,,
GHIVW,,,,,,,,,,,
GHSI,2.41,-,-,-,0.00,-0.12,-,-75.30%,-87.50%,63.30%,3.89%
GIFI,0.34,-,-,-,0.07,-3.03,-,-30.60%,-32.70%,-81.30%,13.84%
GIGE,-,-,-,-,-,-,-,-,-,-,-
GIGM,0.58,-,-,-,0.00,-0.11,-,-2.20%,-5.40%,-2.60%,39.40%
GIII,0.85,15.95,10.07,-,0.33,1.37,-,5.30%,11.20%,-237.20%,2.80%
GILD,4.40,63.54,9.26,1155.36,1.68,0.96,4.45%,6.30%,9.50%,131.00%,0.40%
GILT,1.48,-,-,-,0.02,-0.07,6.00%,-1.50%,15.00%,-285.50%,13.20%
GLAD,1.14,-,10.56,-,-,-0.06,9.23%,-,-,90.10%,3.85%
GLADD,,,,,,,,,,,
GLADL,,,,,,,,,,,
GLBS,0.05,-,-,-,1.74,-983.00,-,-246.90%,-69.70%,47.60%,3.96%
GLBZ,0.73,15.99,-,-,0.00,0.59,4.27%,4.60%,34.30%,55.80%,24.56%
GLDD,2.17,10.38,10.70,-,0.00,1.07,-,23.10%,13.80%,40.60%,2.30%
GLDI,-,-,-,-,-,-,12.28%,-,-,-,-
GLG,1.34,-,-,-,0.00,-0.38,-,-7.00%,-5.30%,336.70%,11.27%
GLIBA,1.59,6.58,-,0.41,0.57,14.17,-,10.70%,-9.40%,32.60%,0.60%
GLIBP,,,,,,,,,,,
GLMD,1.54,-,-,-,0.00,-1.27,-,-43.30%,-,-51.90%,17.32%
GLNG,0.70,-,253.38,-,2.11,-3.35,-,-22.90%,1.50%,-53.30%,46.50%
GLPG,4.90,-,-,-,-,-1.69,-,-,-,-,-
GLPI,4.16,20.56,18.58,2.04,2.60,2.02,5.77%,20.60%,8.90%,42.40%,5.59%
GLRE,0.66,-,6.61,-,0.22,-1.94,-,-15.50%,-1.60%,-56.20%,4.00%
GLSI,14.36,-,-,-,0.13,-0.09,-,-991.50%,-,23.50%,20.50%
GLTO,-,-,-,-,-,-1.95,-,-,-,-,10.40%
GLUU,4.32,493.00,18.36,32.87,0.00,0.02,-,2.50%,3.30%,312.10%,0.80%
GLYC,1.33,-,-,-,0.00,-1.13,-,-34.20%,-,5.60%,2.04%
GMAB,-,-,6.09,-,-,-,-,-,-,-1.30%,-
GMBL,3.33,-,-,-,0.02,-1.49,-,-781.60%,-,69.30%,1.20%
GMBLW,,,,,,,,,,,
GMDA,5.57,-,-,-,0.00,-1.17,-,-112.80%,-,23.40%,37.96%
GMLP,0.59,27.12,2.87,3.39,3.86,0.10,2.84%,2.00%,6.70%,231.70%,30.16%
GMLPP,,,,,,,,,,,
GNCA,5.81,-,-,-,0.68,-1.27,-,-237.30%,-,70.90%,0.10%
GNFT,-,-,-,-,-,-,-,-,-,-,-
GNLN,3.15,-,-,-,0.52,-0.45,-,-67.80%,-113.80%,-414.50%,1.00%
GNMA,-,-,-,-,-,-,1.98%,-,-,-,-
GNMK,10.23,-,-,-,0.75,-0.41,-,-48.20%,-51.50%,77.60%,4.10%
GNOM,-,-,-,-,-,-,-,-,-,-,-
GNPX,5.66,-,3.71,-,0.00,-0.53,-,-81.30%,-,52.70%,19.07%
GNRS,1.25,1648.33,-,-,0.01,0.01,-,-,-,-,-
GNRSU,,,,,,,,,,,
GNRSW,,,,,,,,,,,
GNSS,5.67,96.96,41.81,6.46,0.01,0.07,-,6.40%,7.20%,129.50%,1.90%
GNTX,4.21,27.06,17.10,1.80,0.01,1.22,1.45%,15.50%,21.30%,8.60%,0.10%
GNTY,1.24,13.63,11.82,-,0.18,2.20,2.67%,9.60%,25.30%,41.90%,1.80%
GNUS,4.83,-,-,-,0.02,-5.34,-,-,-74.90%,97.60%,5.30%
GO,3.91,39.77,32.91,2.52,0.51,0.95,-,11.30%,5.10%,205.30%,0.40%
GOCO,-,-,14.81,-,0.97,-,-,-,-5.40%,-,0.10%
GOGL,0.44,-,8.11,-,0.91,-0.85,4.81%,-8.90%,3.60%,5.10%,5.60%
GOGO,-,-,-,-,-,-0.67,-,63.90%,-3.20%,-204.80%,0.60%
GOOD,3.13,-,-,-,3.34,-0.25,8.25%,-3.80%,4.10%,81.50%,1.66%
GOODM,,,,,,,,,,,
GOODN,,,,,,,,,,,
GOOG,5.82,35.32,29.82,2.14,-,51.75,-,-,-,59.10%,5.84%
GOOGL,5.82,35.26,29.78,2.13,0.07,51.75,-,17.30%,14.10%,62.00%,0.12%
GOSS,1.73,-,-,-,0.46,-3.57,-,-64.30%,-,-0.20%,0.80%
GOVX,0.20,-,-,-,0.02,-54.31,-,-320.10%,67.80%,-,6.40%
GOVXW,,,,,,,,,,,
GP,-,-,-,-,-,-,-,-,-,-,17.14%
GPP,-,4.89,4.44,0.33,-,1.78,5.51%,-59.50%,84.80%,1.60%,0.70%
GPRE,0.76,-,105.92,-,0.77,-2.83,3.19%,-10.30%,-9.20%,13.20%,3.90%
GPRO,8.11,-,12.96,-,0.00,-0.10,-,-9.00%,0.50%,104.20%,1.40%
GRAY,-,-,-,-,-,-2.27,-,-,-,-,5.44%
GRBK,1.78,10.86,7.79,6.31,0.36,1.98,-,17.80%,5.90%,121.00%,0.90%
GRCY,,,,,,,,,,,
GRCYU,,,,,,,,,,,
GRCYW,,,,,,,,,,,
GRFS,5.29,31.39,12.89,2.73,-,0.60,2.23%,-,-,95.90%,-
GRID,-,-,-,-,-,-,0.79%,-,-,-,-
GRIF,3.42,-,-,-,1.50,-0.83,0.70%,-4.50%,4.10%,-162.20%,1.00%
GRIL,3.85,-,-,-,0.34,-18.35,-,-,-,-44.40%,3.90%
GRIN,0.33,-,11.63,-,1.46,-1.85,-,-13.30%,-9.20%,21.40%,22.70%
GRMN,4.44,22.27,23.47,3.98,0.00,5.32,2.06%,20.80%,19.00%,36.80%,0.20%
GRNQ,15.20,-,-,-,0.32,-0.03,-,-39.70%,-30.20%,-123.60%,72.03%
GRNV,,,,,,,,,,,
GRNVR,,,,,,,,,,,
GRNVU,,,,,,,,,,,
GRNVW,,,,,,,,,,,
GROW,3.29,63.28,-,-,0.02,0.06,0.74%,4.90%,-13.70%,156.10%,2.70%
GRPN,9.15,-,38.67,-,4.33,-7.92,-,-112.20%,4.70%,3.90%,5.90%
GRSV,-,-,-,-,-,-,-,-,-,-,-
GRSVU,-,-,-,-,-,-,-,-,-,-,-
GRSVW,,,,,,,,,,,
GRTS,1.55,-,-,-,0.00,-2.87,-,-101.30%,-72.90%,10.50%,0.10%
GRTX,10.94,-,-,-,2.51,-2.89,-,-153.10%,-,-10.20%,11.90%
GRVY,7.92,26.92,-,-,0.00,6.24,-,35.20%,32.10%,182.40%,59.30%
GRWG,15.14,600.51,90.15,30.03,0.00,0.06,-,4.70%,3.90%,156.90%,4.40%
GSBC,1.07,11.49,13.90,1.91,0.28,4.15,2.85%,9.60%,22.40%,-31.20%,10.70%
GSHD,-,401.41,116.14,5.06,-,0.30,-,-82.20%,34.30%,184.70%,5.00%
GSIT,2.20,-,-,-,0.00,-0.85,-,-22.50%,-12.30%,-187.80%,0.20%
GSKY,-,83.85,15.46,6.45,-,0.05,-,-87.80%,31.20%,-94.70%,4.00%
GSM,0.55,-,-,-,-,-2.09,-,-,-30.70%,-,57.79%
GSMG,2.00,10.99,-,-,0.10,0.25,-,1.60%,-,42.80%,15.30%
GSMGW,,,,,,,,,,,
GSUM,-,-,-,-,-,-2.44,-,277.70%,-757.90%,78.00%,15.38%
GT,0.85,-,14.15,-,2.32,-7.31,-,-50.40%,-0.20%,-102.30%,0.29%
GTEC,1.31,-,-,-,0.93,-,-,-,7.50%,110.60%,87.01%
GTH,1.45,-,-,-,0.06,-16.12,-,-,-77.50%,93.00%,-
GTHX,3.82,-,-,-,0.10,-2.90,-,-49.40%,-,64.40%,0.50%
GTIM,1.68,-,-,-,1.79,-1.56,-,-100.80%,-8.70%,-46.40%,18.20%
GTLS,2.85,85.20,31.85,5.43,0.55,1.22,-,4.70%,3.70%,15.50%,0.40%
GTYH,0.63,-,-,-,0.05,-1.29,-,-21.50%,-29.90%,10.70%,1.20%
GURE,0.16,-,-,-,0.01,-1.66,-,-6.10%,-9.80%,77.80%,3.60%
GVP,2.09,-,19.50,-,1.19,-0.77,-,-109.30%,-34.10%,47.40%,5.40%
GWACU,-,-,-,-,-,-,-,-,-,-,-
GWGH,-,-,-,-,-,-0.61,-,42.30%,-1.30%,-198.80%,0.20%
GWPH,5.80,-,112.63,-,0.02,-1.73,-,-7.50%,-15.90%,12.40%,0.64%
GWRS,9.23,282.45,138.40,18.83,3.39,0.05,2.10%,3.50%,4.20%,2.90%,0.90%
GXGX,,,,,,,,,,,
GXGXU,,,,,,,,,,,
GXGXW,,,,,,,,,,,
GXTG,-,-,-,-,-,-,0.31%,-,-,-,-
GYRO,0.48,-,-,-,-,-2.53,-,-,-,-,11.73%
HA,1.32,-,-,-,1.81,-6.51,2.34%,-33.70%,13.40%,-224.50%,2.16%
HAACU,-,-,-,-,-,-,-,-,-,-,-
HAFC,0.57,10.45,10.05,1.31,0.21,1.00,3.05%,5.40%,19.20%,34.10%,1.10%
HAIN,2.62,197.55,25.58,7.72,0.20,0.19,-,1.90%,2.90%,-123.40%,0.10%
HALL,0.35,-,15.29,-,0.60,-6.60,-,-57.60%,1.30%,-634.10%,7.06%
HALO,56.47,265.75,22.72,4.58,3.98,0.15,-,24.30%,-13.70%,248.90%,0.60%
HAPP,0.58,3.47,-,-,0.04,0.54,-,19.80%,15.20%,-75.30%,63.09%
HARP,5.55,-,-,-,0.00,-2.16,-,-68.10%,-61.80%,18.40%,0.40%
HAS,4.65,32.84,21.09,4.13,1.86,2.86,2.90%,13.90%,8.20%,-4.00%,0.20%
HAYN,0.95,-,22.31,-,0.03,-0.53,3.83%,-2.20%,0.50%,-190.60%,2.40%
HBAN,1.22,18.12,12.29,-,0.86,0.71,4.68%,6.90%,13.10%,-20.80%,0.20%
HBANN,,,,,,,,,,,
HBANO,,,,,,,,,,,
HBCP,0.77,12.43,9.57,-,0.02,2.25,3.15%,6.30%,24.00%,34.80%,12.72%
HBIO,1.99,-,14.59,-,0.56,-0.17,-,-8.50%,0.90%,59.00%,8.40%
HBMD,0.78,-,15.87,-,0.10,-0.84,-,-5.20%,17.50%,1.10%,14.40%
HBNC,0.96,10.02,11.07,-,1.05,1.47,3.26%,10.00%,20.40%,1.60%,0.60%
HBP,2.28,-,-,-,2.38,-0.42,-,-27.20%,-8.20%,272.50%,20.75%
HBT,1.09,9.40,10.60,-,8.83,1.49,4.27%,11.70%,2.30%,-60.20%,0.50%
HCAC,1.52,-,-,-,0.00,-0.04,-,-0.50%,-,-199.50%,1.75%
HCACU,,,,,,,,,,,
HCACW,,,,,,,,,,,
HCAP,0.59,-,20.13,-,-,-0.86,-,-,-,-,32.56%
HCAPZ,,,,,,,,,,,
HCAT,4.85,-,-,-,0.55,-2.25,-,-36.80%,-22.80%,51.60%,2.40%
HCCH,0.71,-,-,-,0.04,-0.59,-,-,-,-277.60%,18.69%
HCCHR,,,,,,,,,,,
HCCHU,,,,,,,,,,,
HCCHW,,,,,,,,,,,
HCCI,1.71,105.53,29.05,7.04,0.11,0.19,-,1.70%,3.30%,-33.90%,0.40%
HCDI,1.98,-,-,-,3.37,-,-,-,1.70%,24.70%,53.80%
HCKT,3.15,69.71,14.75,5.16,0.00,0.21,2.62%,5.00%,17.10%,-54.30%,17.39%
HCM,11.87,-,-,-,-,-0.82,-,-,-,-,6.26%
HCSG,3.72,19.23,19.08,2.14,0.00,1.20,3.55%,19.80%,12.20%,50.20%,0.10%
HDS,5.80,22.03,28.33,-,1.15,2.53,-,29.30%,16.50%,2.30%,0.80%
HDSN,1.54,-,326.00,-,1.91,-0.26,-,-25.30%,-11.40%,-98.60%,1.30%
HEAR,3.01,8.25,14.24,0.46,0.00,2.35,-,59.40%,21.70%,581.70%,0.60%
HEC,-,-,-,-,-,-,-,-,-,-,-
HECCU,-,-,-,-,-,-,-,-,-,-,-
HECCW,,,,,,,,,,,
HEES,3.86,274.02,18.89,23.03,3.68,0.10,3.94%,1.40%,10.30%,-64.70%,7.80%
HELE,3.98,24.53,18.31,2.27,0.23,8.38,-,17.60%,11.10%,108.10%,0.70%
HEPA,1.28,-,-,-,0.00,-2.78,-,-116.80%,-,-30.50%,0.18%
HERD,-,-,-,-,-,-,2.30%,-,-,-,-
HERO,-,-,-,-,-,-,-,-,-,-,-
HEWG,-,-,-,-,-,-,1.39%,-,-,-,-
HFBL,0.88,12.45,-,-,0.00,2.21,2.40%,7.70%,24.40%,8.70%,8.40%
HFEN,-,-,-,-,-,-,-,-,-,-,74.77%
HFFG,1.52,-,-,-,0.52,-6.58,-,-99.10%,0.90%,-119.80%,10.70%
HFWA,1.07,22.01,18.03,3.14,0.03,1.09,3.34%,5.00%,21.90%,-4.70%,0.30%
HGBL,3.18,13.89,6.55,-,0.01,0.13,-,29.10%,32.50%,-4.30%,17.80%
HGEN,5.07,-,2.67,-,0.00,-1.69,-,-302.90%,-,-567.50%,40.28%
HGSH,0.83,-,-,-,0.69,-0.01,-,-0.50%,1.50%,-,86.60%
HHR,33.81,59.29,26.73,128.89,1.66,0.42,4.00%,61.60%,24.60%,2.60%,-
HIBB,2.08,10.95,11.31,1.52,0.01,3.97,-,-,8.20%,139.00%,0.60%
HIFS,1.80,10.73,-,-,0.00,20.68,0.81%,12.50%,24.50%,88.20%,2.30%
HIHO,1.38,26.81,-,-,0.00,0.14,6.35%,5.30%,4.90%,-112.60%,8.60%
HIMX,1.35,43.95,18.65,1.76,0.37,0.16,-,3.30%,-2.90%,217.10%,12.30%
HJLI,58.77,-,-,-,0.06,-0.32,-,-461.00%,-,45.40%,3.50%
HJLIW,,,,,,,,,,,
HLAL,-,-,-,-,-,-,1.19%,-,-,-,-
HLG,5.33,29.10,131.57,-,0.01,2.19,-,21.20%,16.90%,10.60%,-
HLIO,2.68,70.03,20.04,30.45,0.44,0.70,0.73%,3.90%,8.60%,1.30%,0.50%
HLIT,2.79,-,18.90,-,0.67,-0.38,-,-15.60%,2.00%,-146.20%,2.10%
HLNE,11.87,36.08,29.88,2.41,0.39,1.92,1.80%,36.00%,44.70%,19.00%,4.30%
HLXA,-,-,-,-,-,-,-,-,-,-,3.33%
HMHC,2.22,-,-,-,3.60,-4.19,-,-180.10%,-13.70%,-118.00%,0.30%
HMNF,0.75,9.08,-,-,0.00,1.81,-,8.70%,28.60%,49.10%,2.60%
HMST,1.08,11.93,9.80,1.70,0.18,2.79,1.80%,9.20%,19.40%,107.60%,1.30%
HMSY,3.04,50.78,23.21,5.57,0.00,0.62,-,6.20%,7.80%,-16.50%,0.90%
HMTV,2.00,-,58.74,-,0.92,-0.18,-,-3.20%,8.60%,265.80%,0.10%
HNDL,-,-,-,-,-,-,7.04%,-,-,-,-
HNNA,0.83,7.54,-,-,0.00,1.18,6.19%,11.50%,12.70%,-29.10%,44.50%
HNRG,0.15,-,4.13,-,0.79,-1.99,-,-2.70%,-12.00%,151.80%,12.58%
HOFT,1.50,-,12.47,-,0.11,-1.54,2.09%,-7.10%,5.90%,38.10%,1.80%
HOFV,0.31,-,-,-,0.00,-0.61,-,-3.30%,-,-731.10%,40.80%
HOFVW,,,,,,,,,,,
HOL,-,-,-,-,-,-,-,-,-,-,-
HOLI,0.72,10.62,5.79,0.67,0.02,1.16,1.62%,7.10%,5.10%,-30.90%,40.50%
HOLUU,-,-,-,-,-,-,-,-,-,-,-
HOLUW,,,,,,,,,,,
HOLX,6.81,16.86,15.36,0.97,1.13,4.20,-,48.00%,21.10%,509.40%,1.20%
HOMB,1.24,15.29,12.90,3.06,0.15,1.24,2.95%,8.30%,16.20%,-3.60%,0.10%
HONE,0.81,17.52,14.14,-,0.05,0.58,1.18%,3.10%,14.30%,130.30%,2.20%
HOOK,3.06,-,-,-,0.05,-1.63,-,-39.60%,-41.50%,-18.20%,0.50%
HOPE,0.60,9.76,9.52,1.22,0.15,1.01,5.67%,6.20%,17.30%,-26.40%,1.30%
HOTH,4.30,-,-,-,0.00,-0.93,-,-213.10%,-,8.10%,37.89%
HOVNP,-,-,-,-,-,-,-,-,-,-,-
HPK,,,,,,,,,,,
HPKEW,,,,,,,,,,,
HQI,3.69,15.67,-,-,0.00,0.59,2.17%,-3.40%,-2.20%,-62.90%,64.10%
HQY,3.85,-,41.46,-,0.75,-0.28,-,-1.80%,1.50%,-100.70%,0.80%
HRMY,26.23,-,30.18,-,2.04,-,-,-,44.90%,-,25.40%
HROW,5.56,-,37.59,-,0.67,-0.10,-,-8.80%,-11.50%,171.10%,0.40%
HRTX,5.75,-,-,-,0.02,-2.47,-,-65.10%,-51.50%,-52.50%,0.28%
HRZN,1.15,19.81,10.24,3.96,-,0.65,9.37%,-,-,-,1.61%
HSAQ,-,-,-,-,-,-,-,-,-,-,21.81%
HSDT,2.62,-,-,-,0.00,-0.51,-,-241.60%,-413.70%,-,0.40%
HSIC,3.00,16.34,17.54,3.01,0.36,4.07,-,19.50%,14.90%,9.10%,0.40%
HSII,2.00,-,13.95,-,0.00,-1.71,2.23%,-11.20%,13.30%,-364.20%,0.10%
HSKA,4.07,-,-,-,0.19,-2.23,-,-7.70%,0.90%,-,1.40%
HSON,0.96,-,11.94,-,0.04,-0.36,-,-2.90%,-3.10%,-464.80%,2.90%
HST,1.64,-,-,-,0.88,-0.84,-,-8.60%,6.40%,-187.50%,1.18%
HSTM,1.89,38.34,195.10,3.83,0.00,0.52,-,5.00%,3.20%,-22.80%,0.10%
HSTO,2.08,-,-,-,0.07,-2.92,-,-132.00%,-59.40%,72.80%,0.69%
HTBI,0.73,15.56,20.42,1.94,0.01,1.16,1.77%,-,22.90%,-29.60%,2.10%
HTBK,0.89,17.70,13.21,2.53,0.07,0.49,6.02%,5.10%,18.70%,-27.70%,1.70%
HTBX,1.31,-,-,-,0.00,-0.32,-,-43.70%,-151.80%,66.50%,3.01%
HTGM,1.48,-,-,-,1.04,-4.73,-,-103.90%,-48.00%,50.50%,0.80%
HTHT,20.04,-,41.03,-,3.65,-0.93,0.68%,-26.40%,6.10%,-195.00%,56.40%
HTIA,,,,,,,,,,,
HTLD,2.08,22.89,17.15,1.83,0.00,0.81,0.43%,9.40%,10.20%,1.80%,0.90%
HTLF,0.88,11.25,11.25,1.13,0.31,3.62,1.97%,8.30%,20.60%,30.90%,1.90%
HTLFP,,,,,,,,,,,
HUBG,1.60,23.15,17.62,21.04,0.21,2.36,-,7.20%,8.50%,-6.00%,1.00%
HUGE,-,-,-,-,-,-,-,-,-,-,12.70%
HUIZ,4.94,-,913.75,-,0.22,-0.02,-,-2.80%,-0.60%,-8.90%,-
HURC,0.84,-,-,-,0.00,-0.08,1.74%,-0.20%,7.00%,-36.30%,0.10%
HURN,1.73,-,17.84,-,0.45,-0.19,-,-0.60%,6.70%,-17.70%,1.20%
HUSN,1.70,-,-,-,0.00,-1.52,-,-32.40%,-,-108.90%,39.15%
HVBC,,,,,,,,,,,
HWBK,1.12,10.55,-,-,0.40,2.03,2.43%,11.10%,26.60%,29.40%,0.80%
HWC,0.75,-,9.67,-,0.11,-0.71,3.67%,-7.70%,21.10%,17.00%,0.70%
HWCC,0.44,-,-,-,0.61,-0.18,-,-2.90%,3.00%,-1.70%,0.50%
HWCPL,,,,,,,,,,,
HWCPZ,,,,,,,,,,,
HWKN,2.11,16.29,14.77,-,0.30,3.13,1.82%,13.80%,10.60%,31.90%,1.40%
HX,0.26,-,-,-,0.00,-13.14,-,-73.10%,-106.90%,-,-
HYAC,1.29,-,-,-,0.00,-0.05,-,-1.40%,-,-340.30%,-
HYACU,,,,,,,,,,,
HYACW,,,,,,,,,,,
HYLS,-,-,-,-,-,-,5.08%,-,-,-,-
HYMC,-,-,-,-,-,-5.77,-,-193.70%,-,-,-
HYMCW,,,,,,,,,,,
HYMCZ,,,,,,,,,,,
HYRE,698.00,-,-,-,10.00,-0.89,-,-490.10%,-186.60%,56.10%,20.70%
HYXF,,,,,,,,,,,
HYZD,-,-,-,-,-,-,5.55%,-,-,-,-
HZNP,3.89,18.99,14.12,0.63,0.00,3.66,-,30.10%,18.70%,1506.00%,0.60%
IAC,1.94,-,-,-,0.12,-2.03,-,-3.20%,23.00%,956.70%,4.80%
IART,3.32,83.11,18.95,8.54,1.09,0.66,-,4.10%,2.90%,218.40%,13.50%
IBB,-,-,-,-,-,-,0.23%,-,-,-,-
IBBJ,-,-,-,-,-,-,-,-,-,-,-
IBCP,1.04,7.45,9.30,0.93,0.21,2.38,4.52%,15.00%,28.30%,62.00%,0.60%
