,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
FCNCA,1.51,13.12,-,-,0.16,43.76,0.33%,12.00%,29.40%,24.40%,14.80%
FCNCP,-,-,-,-,-,-,4.96%,-,-,14.30%,-
FCRD,-,-,9.13,-,-,-,13.97%,-,-,4803.20%,7.07%
FCVT,-,-,-,-,-,-,1.14%,-,-,-,-
FDBC,,,,,,,,,,,
FDIV,-,-,-,-,-,-,3.95%,-,-,-,-
FDMT,-,-,-,-,-,-9.94,-,-,69.50%,-278.50%,7.70%
FDNI,-,-,-,-,-,-,0.70%,-,-,-,-
FDT,-,-,-,-,-,-,1.98%,-,-,-,-
FDTS,,,,,,,,,,,
FDUS,0.82,14.75,8.97,4.92,-,0.89,9.16%,-,-,49.00%,1.42%
FDUSG,,,,,,,,,,,
FDUSL,,,,,,,,,,,
FDUSZ,,,,,,,,,,,
FEIM,1.84,-,-,-,0.05,-0.49,-,-8.10%,-15.50%,106.60%,0.60%
FELE,3.95,34.85,28.62,2.60,0.12,1.99,0.90%,11.80%,11.70%,13.20%,0.60%
FEM,-,-,-,-,-,-,3.16%,-,-,-,-
FEMB,-,-,-,-,-,-,5.62%,-,-,-,-
FEMS,-,-,-,-,-,-,4.04%,-,-,-,-
FENC,6.11,-,2.34,-,0.00,-0.82,-,-84.30%,-,-166.40%,1.40%
FEP,-,-,-,-,-,-,1.76%,-,-,-,-
FEUZ,-,-,-,-,-,-,1.35%,-,-,-,-
FEX,-,-,-,-,-,-,1.25%,-,-,-,-
FEYE,7.82,-,65.14,-,1.43,-1.00,-,-32.50%,-12.60%,43.60%,2.10%
FFBC,0.76,11.05,12.06,1.11,0.54,1.59,5.25%,7.00%,16.90%,-17.60%,0.40%
FFBW,0.69,39.92,-,-,0.00,0.25,-,1.90%,12.50%,36.90%,1.00%
FFHL,1.01,4.96,-,0.71,0.28,2.38,-,22.30%,6.60%,291.60%,65.50%
FFIC,0.82,10.88,8.78,1.25,0.19,1.53,5.05%,7.70%,21.10%,33.00%,1.30%
FFIN,3.17,27.61,25.28,2.76,0.00,1.31,1.44%,12.40%,20.60%,17.40%,1.10%
FFIV,4.82,35.08,15.46,8.79,0.17,5.02,-,14.80%,11.60%,-19.80%,0.30%
FFNW,0.71,13.23,19.49,1.89,0.00,0.86,3.51%,5.50%,23.40%,-14.20%,1.80%
FFWM,1.32,11.63,11.09,1.66,0.01,1.72,1.40%,12.10%,23.10%,78.50%,0.30%
FGBI,0.94,9.49,14.33,-,0.32,1.87,3.60%,10.40%,23.20%,34.00%,17.70%
FGEN,7.43,-,-,-,0.13,-2.62,-,-50.20%,-15.30%,162.00%,0.90%
FGF,1.31,-,-,-,0.00,-3.16,-,-40.20%,5.20%,-,3.70%
FGFPP,,,,,,,,,,,
FGM,-,-,-,-,-,-,0.94%,-,-,-,-
FHB,1.12,16.03,16.11,20.04,0.00,1.47,4.41%,7.10%,17.50%,-10.40%,0.10%
FHTX,-,-,-,-,-,-,-,-,-,-,12.10%
FIBK,1.31,15.75,15.80,1.97,0.10,2.59,3.73%,8.40%,20.20%,0.20%,0.20%
FICS,,,,,,,,,,,
FID,-,-,-,-,-,-,4.24%,-,-,-,-
FIII,1.78,-,-,-,0.00,-,-,-,-,-,-
FIIIU,-,-,-,-,-,-,-,-,-,-,2.39%
FIIIW,,,,,,,,,,,
FINX,-,-,-,-,-,-,-,-,-,-,-
FISI,0.82,9.99,8.84,1.25,0.09,2.25,4.62%,8.40%,24.20%,-4.50%,0.30%
FISV,2.41,86.65,21.03,4.95,0.67,1.31,-,2.80%,2.50%,17.00%,0.50%
FITB,0.95,13.76,11.97,-,0.73,2.00,3.92%,7.10%,10.60%,9.00%,0.32%
FITBI,,,,,,,,,,,
FITBO,,,,,,,,,,,
FITBP,,,,,,,,,,,
FIVE,13.04,89.50,44.02,5.58,0.00,1.96,-,15.00%,22.50%,100.20%,1.70%
FIVN,43.49,-,208.86,-,2.47,-0.54,-,-14.80%,0.80%,-561.70%,0.70%
FIXD,-,-,-,-,-,-,1.96%,-,-,-,-
FIXX,3.00,-,-,-,0.00,-2.74,-,-57.90%,-42.50%,7.50%,16.45%
FIZZ,7.03,24.74,22.87,0.97,0.00,3.43,-,32.90%,27.60%,44.40%,0.20%
FJP,-,-,-,-,-,-,2.21%,-,-,-,-
FKU,-,-,-,-,-,-,2.84%,-,-,-,-
FLACU,,,,,,,,,,,
FLDM,2.86,-,-,-,0.36,-0.68,-,-32.90%,-29.90%,55.40%,0.40%
FLEX,2.89,28.05,12.88,2.24,1.22,0.64,-,11.00%,3.00%,198.30%,0.80%
FLGT,6.15,25.78,9.72,-,0.00,2.02,-,43.60%,-0.60%,3090.00%,5.80%
FLIC,1.07,10.75,11.02,1.54,0.69,1.66,4.26%,10.30%,23.60%,3.00%,3.00%
FLIR,3.18,41.62,18.71,6.50,0.44,1.05,1.55%,7.80%,8.00%,1.20%,0.60%
FLL,2.01,-,10.03,-,2.11,-0.28,-,-14.50%,3.70%,722.80%,0.60%
FLMN,1.16,32.14,16.49,163.99,0.31,0.10,8.25%,3.60%,19.40%,-80.20%,0.30%
FLMNW,,,,,,,,,,,
FLN,-,-,-,-,-,-,2.11%,-,-,-,-
FLNT,1.93,139.74,27.95,3.49,0.19,0.04,-,1.40%,2.00%,126.30%,18.60%
FLUX,38.31,-,-,-,1.33,-2.47,-,239.30%,-545.60%,44.10%,1.00%
FLWS,4.27,27.03,18.60,1.35,0.54,0.96,-,16.30%,12.50%,35.90%,26.10%
FLXN,-,-,-,-,-,-3.09,-,865.00%,-78.50%,50.20%,1.70%
FLXS,1.58,-,-,-,0.00,-4.08,1.20%,-17.20%,-15.70%,-57.90%,5.10%
FMAO,1.04,14.31,12.99,-,0.00,1.61,2.96%,7.50%,20.90%,3.00%,0.90%
FMB,-,-,-,-,-,-,2.22%,-,-,-,-
FMBH,1.00,12.90,14.82,1.43,0.03,2.61,2.44%,8.10%,19.10%,-1.20%,1.30%
FMBI,0.74,15.75,16.06,2.25,0.10,1.01,3.52%,4.60%,18.40%,-58.30%,0.20%
FMBIO,,,,,,,,,,,
FMBIP,,,,,,,,,,,
FMHI,-,-,-,-,-,-,3.18%,-,-,-,-
FMNB,1.10,9.29,9.94,0.52,0.23,1.43,3.32%,12.60%,24.10%,16.80%,0.90%
FMTX,3.45,-,-,-,0.00,-1.07,-,-,-215.70%,-60.90%,13.29%
FNCB,0.86,9.45,-,-,0.07,0.68,3.44%,9.70%,23.00%,70.40%,14.80%
FNHC,0.40,-,8.67,-,0.49,-3.44,6.08%,-20.60%,3.40%,-518.90%,9.40%
FNK,-,-,-,-,-,-,1.79%,-,-,-,-
FNKO,1.61,-,20.68,-,0.91,-0.27,-,-4.10%,9.00%,9.00%,0.90%
FNLC,1.26,10.33,-,-,0.00,2.46,4.88%,12.40%,21.90%,12.40%,0.90%
FNWB,0.80,16.85,-,-,0.00,0.93,1.54%,5.00%,19.90%,56.50%,3.90%
FNX,-,-,-,-,-,-,1.18%,-,-,-,-
FNY,-,-,-,-,-,-,0.34%,-,-,-,-
FOCS,3.92,179.75,12.97,10.18,2.33,0.24,-,2.40%,2.80%,24.40%,0.02%
FOLD,18.62,-,-,-,1.21,-1.15,-,-75.70%,-55.10%,-1.80%,0.90%
FONR,0.92,17.27,-,-,0.02,1.01,-,5.50%,8.70%,-24.10%,3.16%
FORD,2.68,-,-,-,0.62,-0.19,-,-26.50%,-18.60%,94.30%,2.40%
FORM,4.64,43.50,28.43,2.17,0.05,0.99,-,11.50%,5.40%,171.20%,0.60%
FORR,4.52,63.10,22.53,6.31,0.63,0.66,-,7.50%,-0.40%,-36.90%,34.00%
FORTY,2.94,29.14,-,-,1.48,2.93,1.20%,10.40%,10.90%,29.40%,68.90%
FOSL,1.05,-,-,-,0.57,-1.96,-,-22.80%,-7.10%,160.10%,6.60%
FOX,1.60,10.99,12.29,1.19,-,2.63,1.59%,-,-,121.60%,39.70%
FOXA,1.75,11.03,12.08,20.54,0.79,2.64,1.58%,13.00%,7.90%,-72.50%,0.10%
FOXF,6.43,52.72,30.59,3.51,0.57,2.01,-,15.00%,20.10%,19.70%,0.50%
FPA,,,,,,,,,,,
FPAY,-,-,7.00,-,-,-0.21,-,33.30%,23.30%,-138.20%,0.10%
FPRX,6.35,-,-,-,0.00,-2.68,-,-75.80%,-94.30%,27.80%,0.80%
FPXE,,,,,,,,,,,
FPXI,-,-,-,-,-,-,0.28%,-,-,-,-
FRAF,,,,,,,,,,,
FRBA,0.79,10.18,8.77,-,0.13,0.92,1.28%,-,21.90%,424.70%,7.00%
FRBK,0.55,-,142.50,-,0.04,-0.03,-,-0.60%,29.70%,47.00%,1.40%
FREE,1.36,-,12.78,-,0.43,-0.98,-,-10.90%,-,-,3.10%
FREEW,,,,,,,,,,,
FREQ,5.85,-,-,-,0.00,-0.69,-,-12.60%,-12.40%,-216.60%,2.70%
FRG,2.96,-,10.79,-,1.54,-0.70,4.93%,-,-16.20%,73.30%,2.50%
FRGAP,,,,,,,,,,,
FRGI,1.98,-,71.25,-,0.29,-1.25,-,-12.40%,-34.20%,121.20%,2.80%
FRHC,16.88,54.12,-,-,1.40,0.95,-,36.00%,12.80%,169.60%,72.86%
FRLN,-,-,-,-,-,-,-,-,-,-,-
FRME,1.10,13.62,15.04,1.95,0.06,2.75,2.78%,8.40%,16.90%,-5.90%,1.20%
FROG,4.32,-,1256.60,-,0.00,-0.15,-,-,25.60%,-262.90%,21.10%
FRPH,1.17,32.21,-,-,0.24,1.41,-,3.70%,0.60%,180.50%,0.50%
FRPT,14.59,1173.47,254.01,-,0.00,0.12,-,1.50%,-0.20%,3.40%,1.10%
FRSX,8.68,-,-,-,-,-0.39,-,-,-,-,-
FRTA,6.61,35.02,12.41,0.54,6.60,0.49,-,21.00%,5.60%,21.70%,1.60%
FSBW,1.05,7.06,10.66,1.01,0.04,7.77,1.53%,15.90%,29.50%,87.10%,5.90%
FSDC,-,-,-,-,-,-,-,-,-,-,27.65%
FSEA,,,,,,,,,,,
FSFG,0.98,4.62,-,-,0.13,14.07,1.05%,24.70%,18.80%,185.50%,6.90%
FSLR,1.94,47.38,27.36,1.83,0.05,2.09,-,4.30%,-2.80%,403.80%,8.60%
FSRV,1.64,568.18,-,-,0.00,0.02,-,0.30%,-,-,-
FSRVU,,,,,,,,,,,
FSRVW,,,,,,,,,,,
FSTR,0.92,3.22,18.13,0.32,0.28,4.67,-,2.20%,18.70%,342.20%,0.70%
FSTX,2.32,-,-,-,0.00,-6.56,-,-104.50%,-,26.00%,1.00%
FSV,9.34,82.39,47.99,5.49,-,1.66,0.48%,-,-,65.30%,15.76%
FSZ,-,-,-,-,-,-,2.05%,-,-,-,-
FTA,-,-,-,-,-,-,1.95%,-,-,-,-
FTAG,-,-,-,-,-,-,1.55%,-,-,-,-
FTC,-,-,-,-,-,-,0.55%,-,-,-,-
FTCS,-,-,-,-,-,-,0.93%,-,-,-,-
FTCVU,-,-,-,-,-,0.00,-,-,-,-,-
FTDR,-,33.27,29.47,2.39,-,1.51,-,-93.30%,19.10%,-20.30%,0.13%
FTEK,4.04,-,-,-,0.06,-0.29,-,-29.90%,-31.50%,276.50%,25.80%
FTFT,3.03,-,-,-,0.09,-0.43,-,-,14.20%,-266.30%,56.98%
FTGC,-,-,-,-,-,-,0.83%,-,-,-,-
FTHI,-,-,-,-,-,-,4.91%,-,-,-,-
FTHM,14.47,-,-,-,0.02,-0.10,-,-1.60%,568.90%,86.90%,59.00%
FTIV,-,-,-,-,-,-,-,-,-,-,-
FTIVU,1.69,-,-,-,0.00,-,-,-,-,-,-
FTIVW,,,,,,,,,,,
FTLB,,,,,,,,,,,
FTNT,33.76,55.73,40.89,2.90,0.00,2.67,-,58.00%,21.30%,63.20%,11.60%
FTOC,-,-,-,-,-,-,-,-,-,-,-
FTOCU,-,-,-,-,-,-,-,-,-,-,2.80%
FTOCW,,,,,,,,,,,
FTRI,-,-,-,-,-,-,5.24%,-,-,-,-
FTSL,-,-,-,-,-,-,3.53%,-,-,-,-
FTSM,-,-,-,-,-,-,1.32%,-,-,-,-
FTXD,-,-,-,-,-,-,0.78%,-,-,-,-
FTXG,,,,,,,,,,,
FTXH,-,-,-,-,-,-,0.78%,-,-,-,-
FTXL,-,-,-,-,-,-,0.54%,-,-,-,-
FTXN,-,-,-,-,-,-,2.24%,-,-,-,-
FTXO,-,-,-,-,-,-,3.15%,-,-,-,-
FTXR,-,-,-,-,-,-,0.50%,-,-,-,-
FULC,3.04,-,-,-,0.00,-2.85,-,-71.90%,-,10.60%,2.70%
FULT,0.86,11.88,13.20,1.48,0.32,1.07,4.09%,7.50%,21.10%,1.40%,0.40%
FULTP,,,,,,,,,,,
FUNC,0.83,8.95,-,-,0.24,1.73,3.35%,9.80%,26.60%,12.20%,3.60%
FUND,1.00,-,-,-,-,-0.09,7.97%,-,-,-,42.52%
FUSB,,,,,,,,,,,
FUSN,1.60,-,-,-,0.00,-,-,-,-,-189.00%,9.00%
FUTU,8.10,56.34,29.18,3.27,5.35,0.81,-,23.40%,4.40%,240.20%,0.99%
FUV,16.75,-,-,-,0.13,-0.64,-,-126.70%,-101.10%,33.00%,23.00%
FV,-,-,-,-,-,-,0.27%,-,-,-,-
FVAM,-,-,-,-,-,-,-,-,-,-,-
FVC,-,-,-,-,-,-,0.55%,-,-,-,-
FVCB,1.07,14.80,15.08,-,0.13,0.99,-,7.90%,20.70%,1.30%,1.10%
FVE,1.05,2.39,18.16,0.17,0.06,2.89,-,3.10%,-15.90%,108.30%,0.40%
FWONA,1.35,-,-,-,0.57,-3.30,-,-13.10%,0.50%,-331.10%,3.56%
FWONK,1.49,-,-,-,-,-2.71,-,-,-,-,2.97%
FWP,0.63,-,-,-,0.00,-1.74,-,-4.60%,-,93.90%,-
FWRD,3.83,34.82,26.57,2.65,0.21,2.21,1.09%,6.40%,13.80%,-17.70%,0.70%
FXNC,,,,,,,,,,,
FYC,-,-,-,-,-,-,0.29%,-,-,-,-
FYT,-,-,-,-,-,-,1.08%,-,-,-,-
FYX,-,-,-,-,-,-,0.83%,-,-,-,-
GABC,1.45,15.40,15.86,1.71,0.01,2.15,2.30%,9.70%,20.20%,12.30%,1.50%
GAIA,2.58,-,135.34,-,0.16,-0.16,-,-3.80%,-19.80%,241.90%,0.70%
GAIN,0.93,-,15.29,-,-,-0.53,8.33%,-,-,-39.70%,2.21%
GAINL,,,,,,,,,,,
GAINM,,,,,,,,,,,
GALT,4.39,-,-,-,0.00,-0.40,-,-56.50%,-,-109.70%,14.10%
GAN,9.61,-,-,-,0.01,-,-,-,11.70%,-,28.11%
GASS,0.16,6.83,2.52,1.34,0.61,0.34,-,2.40%,2.40%,464.20%,20.69%
GBCI,1.95,17.93,18.88,1.79,0.50,2.57,2.61%,11.30%,16.80%,42.80%,0.10%
GBDC,0.99,38.42,12.40,3.84,-,0.37,8.20%,-,-,-,6.89%
GBIO,4.50,-,-,-,0.00,-,-,-,-,-76.00%,1.20%
GBLI,0.57,64.83,9.53,6.48,0.18,0.44,3.50%,1.00%,8.80%,-326.70%,3.30%
GBLIL,,,,,,,,,,,
GBS,-,-,-,-,-,-,-,-,-,-,-
GBT,5.83,-,-,-,0.16,-4.63,-,-54.80%,-43.10%,9.50%,1.60%
GCBC,1.63,11.60,-,-,0.15,2.20,1.88%,14.80%,29.40%,0.50%,1.00%
GCMG,,,,,,,,,,,
GCMGW,,,,,,,,,,,
GDEN,3.13,-,-,-,6.38,-4.49,-,-55.40%,2.70%,27.20%,36.04%
GDRX,12.85,-,118.65,-,0.92,-0.03,-,-,-28.30%,-505.50%,8.80%
GDS,7.06,-,-,-,1.62,-0.57,-,-4.70%,1.80%,-64.40%,3.82%
GDYN,4.17,-,71.59,-,0.00,-0.34,-,-10.50%,-,-284.10%,3.30%
GDYNW,,,,,,,,,,,
GECC,0.65,-,9.23,-,-,-2.33,27.78%,-,-,-,33.28%
GECCL,,,,,,,,,,,
GECCM,,,,,,,,,,,
GECCN,,,,,,,,,,,
GEG,,,,,,,,,,,
GENC,1.09,32.89,-,-,0.00,0.37,-,3.50%,2.70%,-,26.08%
GENE,3.03,-,-,-,0.04,-0.67,-,-118.00%,-,-228.60%,86.50%
GENY,-,-,-,-,-,-,0.83%,-,-,-,-
GEOS,0.72,-,-,-,0.00,-1.42,-,-11.50%,-12.80%,-144.10%,3.70%
GERN,2.18,-,-,-,0.10,-0.35,-,-43.80%,-53.60%,23.20%,0.16%
GEVO,2.43,-,-,-,0.10,-1.63,-,-34.90%,-30.30%,86.70%,4.20%
GFED,0.86,9.27,27.71,-,0.40,1.88,3.44%,9.60%,26.80%,-23.70%,0.60%
GFN,1.81,127.01,17.55,12.70,2.68,0.07,-,1.70%,7.50%,-35.40%,4.90%
GFNCP,,,,,,,,,,,
GFNSL,,,,,,,,,,,
GFNSZ,,,,,,,,,,,
GGAL,0.67,3.43,4.39,-,0.66,2.55,0.92%,21.30%,0.60%,98.60%,53.40%
GH,11.75,-,-,-,0.00,-1.91,-,-19.50%,-10.10%,-469.10%,5.40%
GHIV,-,-,9.38,-,-,-,-,-,-,-,25.93%
GHIVU,,,,,,,,,,,
GHIVW,,,,,,,,,,,
GHSI,3.46,-,-,-,0.00,-0.12,-,-75.30%,-87.50%,63.30%,3.89%
GHVIU,,,,,,,,,,,
GIFI,0.33,-,-,-,0.07,-3.03,-,-30.60%,-32.70%,-81.30%,13.84%
GIGE,-,-,-,-,-,-,-,-,-,-,-
GIGM,0.65,-,-,-,0.00,-0.11,-,-2.20%,-5.40%,-2.60%,39.40%
GIII,0.88,34.51,10.58,28.75,0.39,0.69,-,2.70%,11.20%,-34.40%,11.51%
GILD,4.19,60.56,8.83,2883.87,1.68,0.96,4.67%,6.30%,9.50%,131.00%,0.40%
GILT,1.61,-,-,-,0.02,-0.07,5.52%,-1.50%,15.00%,-285.50%,13.20%
GLAD,1.20,-,11.07,-,-,-0.06,8.80%,-,-,90.10%,3.81%
GLADD,,,,,,,,,,,
GLADL,,,,,,,,,,,
GLAQU,,,,,,,,,,,
GLBS,0.00,-,-,-,1.09,-105.57,-,-283.80%,-69.70%,-,2.20%
GLBZ,0.85,18.77,-,-,0.00,0.59,3.64%,4.60%,34.30%,55.80%,24.56%
GLDD,2.57,12.29,12.72,-,0.00,1.07,-,23.10%,13.80%,40.60%,1.20%
GLDI,-,-,-,-,-,-,12.36%,-,-,-,-
GLG,0.99,-,-,-,0.00,-0.38,-,-7.00%,-5.30%,336.70%,11.27%
GLMD,1.23,-,-,-,0.00,-1.27,-,-43.30%,-,-51.90%,17.32%
GLNG,0.80,-,-,-,2.15,-2.76,-,-19.60%,1.50%,72.70%,46.50%
GLPG,3.88,-,-,-,-,-1.69,-,-,-,-,-
GLPI,4.24,20.95,18.93,2.09,2.60,2.02,1.13%,20.60%,8.90%,42.40%,5.52%
GLRE,0.61,-,6.09,-,0.22,-1.94,-,-15.50%,-1.60%,-56.20%,3.90%
GLSI,93.51,-,-,-,0.13,-0.09,-,-991.50%,-,23.50%,19.40%
GLTO,-,-,-,-,-,-2.29,-,-,-,-30.20%,10.10%
GLUU,3.95,450.50,17.29,30.03,0.00,0.02,-,2.50%,3.30%,312.10%,0.90%
GLYC,1.29,-,-,-,0.00,-1.13,-,-34.20%,-,5.60%,2.05%
GMAB,-,-,6.27,-,-,-,-,-,-,-1.30%,-
GMBL,4.60,-,-,-,0.02,-1.49,-,-781.60%,-,69.30%,1.20%
GMBLW,,,,,,,,,,,
GMDA,6.88,-,-,-,0.00,-1.17,-,-112.80%,-,23.40%,31.84%
GMLP,0.52,10.84,2.84,1.36,3.65,0.24,3.10%,4.70%,6.70%,192.60%,30.16%
GMLPP,,,,,,,,,,,
GNCA,6.72,-,-,-,0.68,-1.27,-,-237.30%,-,70.90%,6.98%
GNFT,-,-,-,-,-,-,-,-,-,-,-
GNLN,2.75,-,-,-,0.52,-0.45,-,-67.80%,-113.80%,-414.50%,0.40%
GNMA,-,-,-,-,-,-,1.96%,-,-,-,-
GNMK,11.06,-,-,-,0.75,-0.41,-,-48.20%,-51.50%,77.60%,3.20%
GNOG,-,-,-,-,-,-,-,-,-,-,-
GNOGW,,,,,,,,,,,
GNOM,-,-,-,-,-,-,-,-,-,-,-
GNPX,7.03,-,4.61,-,0.00,-0.53,-,-81.30%,-,52.70%,17.55%
GNRS,1.28,1688.33,-,-,0.01,0.01,-,-,-,-,-
GNRSU,,,,,,,,,,,
GNRSW,,,,,,,,,,,
GNSS,4.44,19.01,39.52,1.27,0.01,0.34,-,29.40%,23.80%,-,1.90%
GNTX,4.33,27.79,17.55,1.85,0.01,1.22,1.41%,15.50%,21.30%,8.60%,0.10%
GNTY,1.24,13.61,11.80,-,0.18,2.20,2.67%,9.60%,25.30%,41.90%,2.00%
GNUS,4.76,-,-,-,0.02,-5.34,-,-,-74.90%,97.60%,5.30%
GO,4.08,41.49,34.34,2.63,0.51,0.95,-,11.30%,5.10%,205.30%,0.40%
GOCO,13.01,-,18.46,-,1.19,-0.17,-,-,-5.40%,-,0.10%
GOEV,1.77,-,-,-,0.00,-0.04,-,-0.50%,-,-199.50%,0.36%
GOEVW,,,,,,,,,,,
GOGL,0.49,-,9.03,-,0.91,-0.85,4.32%,-8.90%,3.60%,5.10%,5.60%
GOGO,-,-,-,-,-,-0.67,-,63.90%,-3.20%,-204.80%,0.70%
GOOD,3.10,-,-,-,3.34,-0.25,8.33%,-3.80%,4.10%,81.50%,0.22%
GOODM,,,,,,,,,,,
GOODN,,,,,,,,,,,
GOOG,5.58,33.85,28.60,2.05,-,51.75,-,-,-,59.10%,5.84%
GOOGL,5.59,33.87,28.62,2.05,0.07,51.75,-,17.30%,14.10%,62.00%,0.12%
GOSS,1.88,-,-,-,0.46,-3.57,-,-64.30%,-,-0.20%,0.80%
GOVX,0.25,-,-,-,0.02,-54.31,-,-320.10%,67.80%,-,6.40%
GOVXW,,,,,,,,,,,
GP,-,-,-,-,-,-,-,-,-,-,22.08%
GPP,-,4.46,4.06,0.30,-,1.78,6.04%,-59.50%,84.80%,1.60%,0.70%
GPRE,0.67,-,231.05,-,0.77,-2.83,3.64%,-10.30%,-9.20%,13.20%,3.70%
GPRO,8.62,-,13.18,-,0.00,-0.10,-,-9.00%,0.50%,104.20%,0.90%
GRAY,6.72,-,-,-,0.00,-,-,-,-,-,5.44%
GRBK,1.91,11.61,8.24,6.75,0.36,1.98,-,17.80%,5.90%,121.00%,4.93%
GRCY,,,,,,,,,,,
GRCYU,,,,,,,,,,,
GRCYW,,,,,,,,,,,
GRFS,5.18,30.76,12.46,2.67,-,0.60,2.28%,-,-,95.90%,-
GRID,-,-,-,-,-,-,0.65%,-,-,-,-
GRIF,3.00,-,-,-,1.50,-0.83,0.80%,-4.50%,4.10%,-162.20%,1.00%
GRIL,1.90,-,-,-,0.18,-18.11,-,-328.60%,-,59.70%,3.90%
GRIN,0.34,-,12.00,-,1.46,-1.85,-,-13.30%,-9.20%,21.40%,22.70%
GRMN,4.48,22.49,23.54,4.02,0.00,5.32,2.04%,20.80%,19.00%,36.80%,0.30%
GRNQ,20.50,-,-,-,0.32,-0.03,-,-39.70%,-30.20%,-123.60%,29.30%
GRNV,,,,,,,,,,,
GRNVR,,,,,,,,,,,
GRNVU,,,,,,,,,,,
GRNVW,,,,,,,,,,,
GROW,4.43,85.16,-,-,0.02,0.06,0.55%,4.90%,-13.70%,156.10%,2.70%
GRPN,11.08,-,49.86,-,4.33,-7.92,-,-112.20%,4.70%,3.90%,0.10%
GRSV,-,-,-,-,-,-,-,-,-,-,-
GRSVU,-,-,-,-,-,-,-,-,-,-,-
GRSVW,,,,,,,,,,,
GRTS,2.06,-,-,-,0.00,-2.87,-,-101.30%,-72.90%,10.50%,0.10%
GRTX,10.33,-,-,-,2.51,-2.89,-,-153.10%,-,-10.20%,11.90%
GRVY,8.52,28.99,-,-,0.00,6.23,-,35.20%,32.10%,182.40%,59.30%
GRWG,17.19,681.69,102.34,34.08,0.00,0.06,-,4.70%,3.90%,156.90%,4.30%
GSBC,1.10,11.78,14.26,1.96,0.28,4.15,2.78%,9.60%,22.40%,-31.20%,10.70%
GSHD,-,418.66,121.13,5.27,-,0.30,-,-82.20%,34.30%,184.70%,5.00%
GSIT,2.13,-,-,-,0.00,-0.85,-,-22.50%,-12.30%,-187.80%,0.20%
GSKY,-,89.04,16.42,6.85,-,0.05,-,-87.80%,31.20%,-94.70%,3.80%
GSM,0.57,-,-,-,0.95,-1.06,-,-33.70%,-30.70%,80.80%,57.79%
GSMG,2.02,11.13,-,-,0.10,0.25,-,1.60%,-,42.80%,66.27%
GSMGW,,,,,,,,,,,
GSUM,-,-,-,-,-,-1.93,-,136.00%,-754.50%,-3.10%,15.38%
GT,0.89,-,13.03,-,2.32,-7.31,-,-50.40%,-0.20%,-102.30%,0.29%
GTEC,1.70,-,-,-,0.93,-,-,-,7.50%,110.60%,1.30%
GTH,1.47,-,-,-,0.06,-16.20,-,-,-77.60%,93.00%,-
GTHX,3.46,-,-,-,0.10,-2.90,-,-49.40%,-,64.40%,0.70%
GTIM,2.61,-,-,-,1.25,-1.11,-,-86.80%,-39.10%,136.30%,18.20%
GTLS,3.23,96.39,35.61,6.14,0.55,1.22,-,4.70%,3.70%,15.50%,0.40%
GTYH,0.89,-,-,-,0.05,-1.29,-,-21.50%,-29.90%,10.70%,1.90%
GURE,0.15,-,-,-,0.01,-1.66,-,-6.10%,-9.80%,77.80%,3.60%
GVP,2.36,-,22.00,-,1.19,-0.77,-,-109.30%,-34.10%,47.40%,5.50%
GWAC,-,-,-,-,-,-,-,-,-,-,3.27%
GWACW,,,,,,,,,,,
GWGH,-,-,-,-,-,-0.61,-,42.30%,-1.30%,-198.80%,0.10%
GWPH,4.93,-,274.79,-,0.02,-1.73,-,-7.50%,-15.90%,12.40%,0.64%
GWRS,9.61,294.08,144.10,19.61,3.39,0.05,2.01%,3.50%,4.20%,2.90%,0.90%
GXGX,,,,,,,,,,,
GXGXU,,,,,,,,,,,
GXGXW,,,,,,,,,,,
GXTG,-,-,-,-,-,-,0.27%,-,-,-,-
GYRO,0.49,-,-,-,-,-2.53,-,-,-,-,11.73%
HA,1.14,-,-,-,1.81,-6.51,2.71%,-33.70%,13.40%,-224.50%,2.16%
HAACU,-,-,-,-,-,-,-,-,-,-,-
HAFC,0.61,11.29,10.84,1.41,0.21,1.00,2.82%,5.40%,19.20%,34.10%,1.10%
HAIN,2.84,213.56,27.15,8.34,0.20,0.19,-,1.90%,2.90%,-123.40%,0.30%
HALL,0.37,-,15.82,-,0.60,-6.60,-,-57.60%,1.30%,-634.10%,7.06%
HALO,59.32,279.15,23.25,4.81,3.98,0.15,-,24.30%,-13.70%,248.90%,0.80%
HAPP,0.57,3.41,-,-,0.04,0.54,-,19.80%,15.20%,-75.30%,63.09%
HARP,6.86,-,-,-,0.00,-2.16,-,-68.10%,-61.80%,18.40%,0.40%
HAS,4.63,32.71,20.94,4.11,1.86,2.86,2.91%,13.90%,8.20%,-4.00%,0.20%
HAYN,0.99,-,20.55,-,0.03,-0.53,3.69%,-2.20%,0.50%,-190.60%,2.50%
HBAN,1.20,17.84,11.52,-,0.86,0.71,4.75%,6.90%,13.10%,-20.80%,0.20%
HBANN,,,,,,,,,,,
HBANO,,,,,,,,,,,
HBCP,0.77,12.46,9.63,-,0.02,2.25,3.14%,6.30%,24.00%,34.80%,12.74%
HBIO,2.17,-,15.89,-,0.56,-0.17,-,-8.50%,0.90%,59.00%,7.60%
HBMD,0.76,-,15.60,-,0.10,-0.84,-,-5.20%,17.50%,1.10%,14.40%
